Fasta ID	Cgla_Microarray	Scas_Microarray	Scer_RNA	Smik_RNA	Spar_RNA	Psi_gamma	Psi_nogamma	functionality_Scer_wG	functionality_Spar_wG	functionality_Smik_wG	functionality_Skud_wG	functionality_Scas_wG	functionality_Cgla_wG
1706	0.101183321	0.389691126	0.65592161	216	48.92703958	0.420772873	0.190445137	0.845178026	0.856414124	0.84231643	0.8418547	0.81676121	0.844004276
1801	0.119645658	0.243780601	1.089673731	309	70.9270005	0.595048757	0.290493162	0.957608872	0.940948471	0.942355608	0.915334156	0.869597094	0.883320486
1807	0.107376193	0.074039519	0.812823683	689	24.20465197	0.336884942	0.165746555	0.807204186	0.79690552	0.790345046	0.791535069	0.741008274	0.708354917
1810	0.146940278	0.483271576	0.340759223	183	NA	0.333337867	0.156264311	0.771581909	0.775717654	0.772941026	0.77402514	0.707304548	0.705408166
1837	0.41117841	0.438928467	0.471243278	488	59.04843267	0.317897447	0.149300329	0.778932134	0.782625317	0.779581692	0.766607657	0.687937646	0.712751273
1886	0.345573683	0.843940628	3.850950815	782	93.61237173	0.631213036	0.291170223	0.949933695	0.941496428	0.939283857	0.936687273	0.847794134	0.915985417
1904	0.085966043	0.113893635	0.192055871	49	11.88923618	0.477476594	0.210171821	0.915449993	0.920165902	0.915813145	0.908886779	0.978952213	0.863998368
1966	0.070521819	0.26543956	0.857416049	146	20.9288576	0.838417687	0.380300502	0.970030805	0.972501787	0.967858875	0.96258251	1.010242392	0.927426914
1974	0.403110902	0.249902132	0.475526072	1229	80.77285164	0.45735339	0.227655829	0.87337788	0.87461938	0.87687693	0.883720394	0.801290139	0.773390387
2046	0.451065993	0.459289277	0.85015492	464	160.0038976	0.466340485	0.226067714	0.862072408	0.868265391	0.86095396	0.883130023	0.795135714	0.835793607
2096	0.215194173	0.259793062	1.598462294	255	14.34268252	0.430126192	0.185422838	0.847922571	0.857346471	0.848795049	0.843493182	0.765246171	0.79098167
2103	0.0682169	0.203378491	0.275028503	233	22.20635489	0.411710619	0.201206927	0.850954161	0.850681685	0.841722635	0.840825739	0.793366031	0.777722492
2128	0.593562755	0.252491117	2.50441444	316	122.3609352	0.543466557	0.247654643	0.936487594	0.935151508	0.935013305	0.932051466	0.780028194	0.846114102
2224	0.221175735	0.211777835	0.331067092	186	47.70405367	0.247996463	0.120573335	0.738613566	0.74591218	0.722166193	0.708728848	0.662385365	0.744610711
2242	0.552832643	0.232216014	0.555172526	754	160.6079009	0.659443148	0.301128173	0.924860171	0.927607431	0.92357397	0.928291488	0.893452393	0.857873376
2254	0.500944768	0.831812555	3.58490371	2599	132.1083991	0.641567951	0.313883338	0.934932395	0.934074811	0.940362986	0.93272624	0.897821666	0.906141847
2269	0.321817113	0.429522723	0.613254218	165	45.57646903	0.397063132	0.192253955	0.860836664	0.855136092	0.825974991	0.830829653	0.791541654	0.776249097
2308	0.676771068	1.05591107	2.796887152	726	83.15871545	0.513756974	0.238899304	0.890098156	0.892611282	0.885085165	0.889574337	0.816523243	0.818299977
2338	0.236588807	0.161305713	0.472365995	211	32.67635766	0.324042399	0.153821011	0.786407144	0.783500678	0.780506292	0.778447305	0.660000705	0.676903295
2512	0.20245782	0.219759491	0.854921061	260	42.36670775	0.442822889	0.209753356	0.896584062	0.910835331	0.899013511	0.881880238	0.798304216	0.755863781
2574	0.105685293	0.125655155	0.240501283	26	9.684582336	0.317636456	0.149416945	0.794803954	0.787868846	0.786598663	0.783425046	0.717731628	0.726176233
2587	0.97598813	0.671561875	1.335961942	788	366.2996032	0.821417345	0.382880004	0.971817436	0.971265821	0.971843595	0.953718489	0.918728763	0.909426311
